clave,entidad,puntacionTotal
15,MÉXICO,93.659999999999997
16,MICHOACÁN,81
27,TABASCO,79
29,TLAXCALA,79
21,PUEBLA,77
26,SONORA,71.650000000000006
14,JALISCO,70
1,AGUASCALIENTES,68.659999999999997
32,ZACATECAS,66
10,DURANGO,54.659999999999997
8,CHIHUAHUA,45.659999999999997
4,CAMPECHE,43
25,SINALOA,37.990000000000002
12,GUERRERO,36.159999999999997
31,YUCATÁN,35
6,COLIMA,34.990000000000002
20,OAXACA,32
2,BAJA CALIFORNIA,24
13,HIDALGO,23.66
18,NAYARIT,23
5,COAHUILA,22
11,GUANAJUATO,22
30,VERACRUZ,15
28,TAMAULIPAS,12
3,BAJA CALIFORNIA SUR,7
22,QUERÉTARO,7
23,QUINTANA ROO,6
